age,income,expenses,savings_ratio,dependents,horizon,existing_investments,crash_behavior,experience,focus,risk_label
47,69363,40436,0.417,1,27,175748,1,2,1,2
55,267247,206116,0.229,2,24,3378458,2,1,1,1
31,103279,57503,0.443,2,29,353784,2,2,1,2
57,216420,107743,0.502,2,17,4404421,2,1,1,2
35,211356,125732,0.405,3,20,1055677,2,1,2,2
52,228196,158493,0.305,4,7,2421791,0,2,0,0
36,224919,122346,0.456,0,7,3543687,2,0,2,2
29,282324,230484,0.184,4,28,3808102,1,2,2,2
35,220161,101762,0.538,4,19,3706196,0,0,2,1
44,255363,143387,0.438,4,20,247117,0,2,1,1
61,159393,114174,0.284,2,7,2287758,0,0,1,0
42,234754,159401,0.321,4,6,3919257,2,0,2,1
37,148053,114741,0.225,3,25,3842996,1,0,1,1
39,208965,177253,0.152,1,13,4716587,2,2,1,1
45,191892,102618,0.465,2,22,1974299,1,0,1,1
47,159832,57720,0.639,0,17,3279270,1,1,0,1
46,178262,56460,0.683,1,22,409759,1,1,1,2
62,92411,64667,0.3,1,34,3265742,1,0,1,1
50,63211,49349,0.219,1,8,4886545,1,2,1,1
36,238981,100704,0.579,4,18,3486822,0,0,0,1
22,290888,112616,0.613,4,24,7749,2,1,2,2
46,281638,94127,0.666,2,2,2436746,1,1,1,1
28,173049,130217,0.248,4,2,3750559,0,0,1,1
30,254010,119704,0.529,4,27,1669351,2,0,2,2
45,59542,31017,0.479,4,14,1420947,0,1,1,1
22,35651,20553,0.423,2,12,4423520,1,2,2,2
29,124239,94632,0.238,2,32,4712871,1,0,1,1
45,251416,165421,0.342,3,28,4608903,0,0,2,1
32,180378,115132,0.362,3,28,4010738,1,2,1,2
38,175158,69471,0.603,3,25,640546,1,0,1,1
29,166130,96729,0.418,3,4,3826500,1,1,1,1
56,280948,194826,0.307,1,26,1061757,0,1,1,1
56,89200,74508,0.165,1,3,3935565,1,0,0,0
54,130848,53748,0.589,3,1,4485136,0,1,2,1
26,131022,39994,0.695,3,17,2586849,2,2,1,2
63,202691,69201,0.659,0,7,1323659,0,1,2,1
60,281453,142617,0.493,1,5,2463448,1,1,1,1
62,87068,65414,0.249,0,19,4572763,2,1,1,2
49,186445,56665,0.696,0,34,4962477,2,1,2,2
28,189226,104301,0.449,4,16,3385162,2,0,2,2
30,162103,77983,0.519,2,27,1024204,2,1,1,2
29,249605,82086,0.671,1,25,2338299,1,1,2,2
33,228047,124885,0.452,3,26,398488,1,0,1,2
55,274768,120928,0.56,3,14,1203913,0,2,0,1
54,184741,91176,0.506,2,14,2351895,0,2,1,1
44,119475,82209,0.312,1,14,3650676,1,2,2,2
45,27282,16010,0.413,3,25,605848,0,0,2,1
58,190696,70282,0.631,3,4,1642147,2,2,0,1
56,204510,169493,0.171,4,15,9297,0,1,2,1
61,245972,159820,0.35,0,32,3012417,1,2,2,1
43,187777,135429,0.279,3,18,2030829,1,2,1,1
48,193509,66483,0.656,1,14,4849246,1,2,1,2
56,233944,76238,0.674,2,1,1238831,2,2,1,2
22,144006,44742,0.689,4,20,611282,2,0,0,2
56,261440,105579,0.596,1,10,1842653,2,1,2,2
58,229054,120923,0.472,4,10,593982,1,0,1,1
35,32461,26446,0.185,0,24,4891437,2,1,1,2
24,125123,68990,0.449,3,34,3424658,0,2,0,1
22,297660,136816,0.54,1,28,4234997,2,0,2,2
26,173586,105725,0.391,2,27,419794,0,1,1,1
47,256496,92739,0.638,0,1,2691142,0,1,1,1
35,192860,122510,0.365,0,33,3492717,2,0,1,1
60,231821,142022,0.387,4,4,4652328,1,0,0,0
48,217121,159713,0.264,0,7,520436,2,0,2,1
30,61027,51426,0.157,1,9,2091526,1,0,1,1
36,198921,87123,0.562,4,16,2654979,2,1,1,2
36,173930,100933,0.42,0,5,3796568,2,1,0,1
47,240234,192157,0.2,2,34,142512,1,0,0,0
63,104003,76115,0.268,1,23,3036753,1,2,2,2
34,208467,118424,0.432,2,25,1777639,1,1,1,2
53,64758,53098,0.18,2,13,4352183,2,1,2,2
60,107279,35560,0.669,4,24,700662,1,0,0,1
53,40434,32834,0.188,3,11,663399,1,1,1,1
25,220119,72150,0.672,4,17,4704250,1,1,2,2
51,270754,162727,0.399,1,13,1906847,0,1,1,1
58,108555,85730,0.21,1,27,1276828,0,1,1,1
44,153379,68176,0.556,4,20,3524673,1,0,2,2
60,241992,135451,0.44,3,33,4164513,2,2,2,2
36,264511,126537,0.522,4,32,1945853,1,1,0,1
64,201806,166223,0.176,1,8,2676853,1,1,1,0
50,93803,70634,0.247,3,29,590246,1,2,0,1
57,249448,172106,0.31,1,19,3701291,1,1,2,1
34,200251,124795,0.377,3,6,3485393,2,1,1,1
53,227514,170937,0.249,3,21,4812835,1,1,2,2
28,270404,139460,0.484,4,22,1827346,0,0,0,1
43,142961,78078,0.454,4,10,4178010,0,2,1,1
49,42297,29671,0.298,4,10,317332,2,1,0,0
23,289155,143642,0.503,3,29,4416728,2,1,1,2
63,145234,48674,0.665,3,16,3614430,1,2,0,1
27,69014,23525,0.659,1,1,4898714,0,1,1,1
49,268166,97464,0.637,2,17,835681,1,1,2,2
49,203570,158443,0.222,4,30,2655687,2,2,0,1
41,283864,158885,0.44,1,26,463378,1,0,1,1
51,298264,206424,0.308,1,19,4920347,2,0,2,1
32,233559,120539,0.484,0,21,1297983,2,0,2,2
49,116575,51560,0.558,4,17,267587,2,2,1,2
46,120040,58934,0.509,1,21,3801167,1,0,2,2
60,173510,127842,0.263,0,19,1192549,1,0,1,1
54,204587,131727,0.356,4,7,4393135,2,0,1,1
22,30744,25077,0.184,3,17,4368108,1,0,2,2
48,239892,161648,0.326,0,1,250278,1,1,2,1
34,175871,107914,0.386,3,6,148579,0,2,2,1
62,249834,158796,0.364,2,26,4978674,1,0,2,1
24,145906,119395,0.182,2,2,4538233,1,1,0,0
60,226260,165964,0.266,2,32,3403154,1,2,1,1
27,245931,77031,0.687,2,5,4491839,0,1,1,1
29,278593,165422,0.406,1,31,3704187,1,2,1,2
48,263746,178974,0.321,2,12,3939645,0,1,0,0
30,32597,23202,0.288,1,30,1945112,1,0,1,1
58,228199,95211,0.583,1,6,1274968,1,2,2,2
54,233434,181365,0.223,4,15,4716123,2,1,2,2
63,182489,150683,0.174,1,15,2339326,2,0,1,1
45,140598,60484,0.57,1,16,90153,2,0,1,1
36,275100,216074,0.215,2,20,4805742,2,2,2,2
53,283589,100202,0.647,1,13,2186516,1,2,1,2
53,209233,69180,0.669,3,31,1164501,0,1,2,2
45,277388,102931,0.629,2,34,4204262,1,2,0,2
62,158241,52497,0.668,0,29,1135736,1,1,1,2
33,240164,183667,0.235,2,3,1850501,1,0,2,1
60,178124,59222,0.668,1,9,3319601,1,1,2,1
23,229923,103330,0.551,3,11,4477647,2,1,1,2
24,33036,11796,0.643,2,11,2336114,0,1,0,1
58,56778,26258,0.538,3,25,2031872,1,0,2,2
38,179245,62701,0.65,0,22,1865501,2,0,1,2
23,186475,124453,0.333,0,9,3456874,2,2,2,2
23,227747,85024,0.627,4,20,2120883,0,2,1,2
49,43800,33660,0.231,4,21,2235300,2,1,0,1
44,256312,192094,0.251,2,10,1836079,0,2,0,0
58,84500,25984,0.692,4,22,886358,2,1,1,2
53,192647,152701,0.207,3,29,4846464,1,2,0,1
54,261527,82621,0.684,4,9,41410,1,0,0,0
22,135659,58578,0.568,3,5,1803137,2,1,1,2
40,52716,16753,0.682,4,11,881380,0,1,1,1
23,27352,13257,0.515,4,1,4910736,0,0,1,1
47,158004,92057,0.417,4,1,4422747,1,1,0,0
53,33556,24769,0.262,1,5,3186769,1,2,2,1
27,286973,139437,0.514,1,22,1480341,2,1,0,2
53,161570,111163,0.312,4,26,839528,1,2,1,1
25,232190,93602,0.597,3,6,4633572,0,1,1,1
32,75098,53532,0.287,2,32,2544955,1,1,2,2
38,165641,71192,0.57,0,11,4531867,1,1,1,2
59,272199,103149,0.621,1,10,1746075,0,0,0,0
45,151060,60722,0.598,4,34,4705143,1,1,0,1
26,212954,85210,0.6,0,31,1922761,2,1,2,2
55,226465,131819,0.418,1,12,761752,1,2,2,2
27,155544,118934,0.235,2,16,4076372,1,1,1,2
43,25340,8711,0.656,3,3,1539914,1,0,0,0
32,200021,137779,0.311,4,2,3307408,0,0,1,0
37,107302,70807,0.34,2,5,889297,0,2,1,0
54,247740,193208,0.22,1,11,3455159,2,1,2,2
30,25138,10916,0.566,4,25,4677567,2,2,0,2
27,144619,79187,0.452,0,22,557715,0,1,1,1
37,124931,101094,0.191,3,22,1567909,1,1,1,1
50,181951,120632,0.337,1,11,3622986,2,1,1,1
24,62772,32253,0.486,3,32,3013433,0,0,1,1
41,83478,31076,0.628,4,31,2078386,0,1,2,2
57,51762,23001,0.556,2,8,4024822,2,1,1,1
40,169355,104943,0.38,3,20,1852978,2,1,1,1
47,219994,152894,0.305,0,34,3128662,0,2,1,1
24,195492,72025,0.632,1,4,2775883,1,0,1,1
40,99965,62955,0.37,0,18,1012986,0,1,0,0
41,202912,122293,0.397,3,4,220967,1,0,1,0
53,200767,116982,0.417,2,20,4428929,2,0,0,1
28,261281,177558,0.32,2,9,110949,1,1,2,1
62,109754,83478,0.239,0,16,1175471,1,0,1,1
54,102988,49191,0.522,4,26,4278108,1,1,0,1
61,175023,138085,0.211,4,25,1779182,0,0,0,0
60,157379,61117,0.612,2,4,4895201,0,0,1,1
39,105388,41645,0.605,0,19,2094035,2,0,1,2
61,264779,118283,0.553,0,14,4667217,1,0,1,1
22,231846,84795,0.634,0,21,4815949,0,2,1,2
32,195047,83221,0.573,3,15,1954769,1,1,2,2
49,157212,56364,0.641,4,3,4177683,2,2,1,1
46,288852,217206,0.248,4,16,3500321,1,0,1,1
44,101021,38027,0.624,3,14,3450902,1,2,2,2
52,184380,131096,0.289,1,9,2945829,1,1,0,0
51,69789,22775,0.674,3,7,2807979,0,0,0,0
63,51086,41976,0.178,0,14,559421,2,1,1,1
56,32684,22589,0.309,3,6,2009885,1,1,2,1
28,116088,35260,0.696,0,21,1196886,2,1,1,2
37,71099,51199,0.28,2,15,3193973,2,1,0,1
47,91093,53083,0.417,0,8,1381194,2,1,2,2
23,185761,135354,0.271,4,34,2324962,0,0,1,1
22,38893,22844,0.413,3,1,3362313,0,1,2,2
33,91418,59656,0.347,0,32,4252508,1,2,2,2
26,150074,109926,0.268,1,5,4948261,0,1,1,1
58,155351,81218,0.477,2,30,4875239,2,1,2,2
53,216083,65146,0.699,1,22,3034725,2,1,2,2
30,63635,48837,0.233,1,20,3676862,1,2,2,2
62,120071,61174,0.491,1,16,1332460,1,1,1,2
56,97805,56025,0.427,2,7,588162,0,0,2,1
40,289598,88116,0.696,2,7,3243389,1,1,0,0
37,207170,118221,0.429,2,2,2812194,2,1,2,2
24,218226,183870,0.157,2,14,4893864,1,1,1,1
41,169063,76593,0.547,1,31,4217274,0,1,0,1
45,93344,48303,0.483,4,14,3025551,1,1,0,1
54,61593,41757,0.322,4,5,415474,2,2,1,1
45,61304,45863,0.252,2,11,3203028,1,1,1,1
32,211292,111892,0.47,3,5,4256219,2,1,0,1
29,138613,65192,0.53,0,29,1188092,2,1,0,2
57,225410,183890,0.184,3,11,2696587,1,0,1,1
59,43354,29152,0.328,3,5,1648928,0,2,1,0
61,31142,11381,0.635,3,32,2082003,1,1,1,2
41,208043,70299,0.662,4,15,66535,1,1,2,2
56,209482,118556,0.434,0,19,3673776,2,2,1,2
46,175575,73925,0.579,3,22,889147,1,0,0,1
56,150438,66146,0.56,2,34,1960499,0,2,1,1
46,73456,57496,0.217,4,17,1529269,1,2,2,1
50,125167,43715,0.651,2,12,4089254,0,2,0,1
39,295160,204678,0.307,2,25,2282728,1,0,1,1
39,289528,130035,0.551,3,17,1179568,1,1,1,2
23,218392,156844,0.282,2,10,174953,0,0,2,1
56,127239,88727,0.303,0,28,3575395,1,1,1,1
37,136431,41483,0.696,2,18,2541781,1,1,2,2
62,65510,37997,0.42,3,18,2844569,1,0,1,1
57,205005,77210,0.623,2,32,3470150,0,1,2,1
54,146668,113876,0.224,4,14,1686150,2,1,1,1
25,267700,208637,0.221,4,16,4946649,0,2,1,1
54,49045,25998,0.47,4,18,924399,0,1,1,1
35,206948,112666,0.456,1,16,1100718,1,0,2,2
42,115102,53730,0.533,4,17,2014901,0,0,0,1
41,124441,86378,0.306,4,7,4292116,1,2,0,0
29,183175,91086,0.503,1,12,2261854,2,1,2,2
28,274877,122948,0.553,4,34,3740079,1,1,1,2
24,161917,87067,0.462,3,10,1703854,1,0,1,1
38,242770,85046,0.65,4,5,1328323,1,1,1,1
54,143325,101851,0.289,4,21,1150675,0,2,1,1
33,44337,13608,0.693,1,3,4895228,1,2,1,2
43,178385,116747,0.346,3,19,2022601,1,0,2,1
43,287420,115133,0.599,2,6,4393834,2,1,0,1
51,168016,71880,0.572,0,14,3370116,0,0,2,1
59,106442,69144,0.35,3,4,836746,1,2,1,1
59,74847,63329,0.154,2,18,4371100,2,1,0,1
29,83653,60878,0.272,3,29,3894764,2,2,1,2
48,242144,102720,0.576,2,16,4473678,2,1,1,2
48,278661,110576,0.603,2,20,4024389,1,2,0,1
55,102842,79849,0.224,3,24,2431791,1,2,2,2
42,297647,162009,0.456,1,19,2460686,2,0,2,2
51,109761,41201,0.625,3,4,3581674,1,2,0,1
54,298734,231284,0.226,3,33,2051283,0,2,0,1
49,166958,125026,0.251,2,2,1917953,2,1,0,0
54,188864,158862,0.159,0,13,968015,1,2,2,2
26,281910,225629,0.2,2,30,907233,2,1,1,2
40,145356,111703,0.232,4,34,3662384,2,2,2,2
25,242228,79672,0.671,3,30,670797,2,0,1,2
56,67727,24207,0.643,3,24,1130523,0,1,2,2
38,33068,20268,0.387,1,33,4187056,1,0,1,1
49,141923,84062,0.408,2,10,3485256,2,2,1,2
51,36390,20082,0.448,1,18,1321975,2,2,2,2
50,131752,68278,0.482,3,19,645148,1,1,2,2
27,171110,91914,0.463,2,7,3016635,0,1,1,1
56,249790,153149,0.387,2,19,3560249,2,1,1,1
62,46281,13937,0.699,4,24,2695983,1,0,1,1
58,79189,35111,0.557,4,15,3180822,1,1,1,1
45,287093,167964,0.415,0,23,952602,1,1,1,2
50,147115,102571,0.303,4,4,2398901,1,0,1,0
52,33605,13300,0.604,2,4,1172685,2,0,2,1
56,274415,164864,0.399,4,5,2291625,1,1,1,1
54,180394,125004,0.307,0,23,4094409,1,1,0,0
42,66869,36413,0.455,3,11,1870305,0,2,1,1
53,57955,18249,0.685,4,11,2208665,1,0,0,1
44,86388,47262,0.453,2,13,36680,1,0,1,1
54,266324,123319,0.537,3,14,2148196,2,1,1,2
24,35207,28563,0.189,2,8,1014279,1,1,1,1
39,243401,89702,0.631,3,25,699444,1,1,2,2
46,184292,121422,0.341,2,18,2449798,1,1,2,1
63,230157,75720,0.671,4,18,609026,1,1,0,1
52,47031,25650,0.455,4,10,1206093,1,1,1,1
24,96312,58238,0.395,0,7,1153109,1,0,2,1
61,84766,39320,0.536,3,14,922809,1,1,0,1
45,168521,92735,0.45,0,15,189932,1,0,2,1
53,212771,82971,0.61,1,16,48648,0,0,2,1
43,262199,122517,0.533,4,2,2291314,2,0,1,1
44,261731,167928,0.358,3,30,3373721,2,0,1,1
23,260841,121549,0.534,0,30,889936,1,2,2,2
48,136041,108133,0.205,0,18,4489510,1,0,2,1
63,141185,91152,0.354,1,31,2430929,2,0,2,1
23,202164,109422,0.459,0,13,2070796,1,2,1,2
47,35350,11358,0.679,2,20,1614468,2,1,2,2
38,252230,144969,0.425,4,23,4226425,0,1,1,1
61,286570,206510,0.279,0,33,4111735,1,1,1,1
54,93487,41700,0.554,0,20,2746455,2,1,1,2
30,173694,129180,0.256,1,3,1024583,1,0,2,1
64,148853,65271,0.562,2,8,1048120,1,0,2,1
60,260062,195842,0.247,0,32,3191963,2,2,2,2
50,258077,89526,0.653,4,29,1181296,2,0,1,2
63,48782,37874,0.224,4,7,2604590,1,0,1,0
47,154936,89018,0.425,0,2,2578669,1,1,2,1
56,178245,82544,0.537,2,21,3869005,1,0,1,1
46,147258,65649,0.554,4,6,2637929,2,1,2,2
45,136668,73473,0.462,4,28,2523517,2,2,1,2
34,163262,138687,0.151,2,32,3041968,2,2,2,2
28,63333,26674,0.579,2,9,3576068,2,2,2,2
57,236977,84546,0.643,0,11,2098468,0,0,1,1
41,114571,71236,0.378,3,23,988494,2,2,0,1
22,145263,82610,0.431,1,11,60046,2,1,1,2
29,50235,29553,0.412,3,2,2962227,2,0,2,2
37,25159,16776,0.333,3,3,3084266,0,1,1,0
35,168217,75181,0.553,4,11,4149956,2,1,2,2
33,187993,150557,0.199,2,15,2212746,0,0,1,1
44,172309,92981,0.46,4,11,508566,1,1,2,2
36,132507,49159,0.629,1,31,2775614,1,2,1,2
49,39743,28148,0.292,0,28,1833601,1,0,0,1
55,253174,165501,0.346,1,28,3533654,1,1,2,1
23,71101,33677,0.526,4,32,3046613,2,1,1,2
53,267717,171830,0.358,4,25,2503240,1,1,1,1
44,146534,61679,0.579,4,20,574382,0,0,1,1
43,255604,139217,0.455,4,28,3791119,0,1,0,1
46,212450,168829,0.205,3,25,4847418,2,1,1,1
43,227193,84843,0.627,0,11,4082925,0,2,0,1
43,260422,133513,0.487,3,19,753523,0,2,2,2
63,171721,129070,0.248,4,28,2140829,1,2,1,1
27,193785,161465,0.167,2,1,4123244,1,0,1,1
36,229535,126166,0.45,3,5,4073992,2,0,1,1
64,201481,116627,0.421,4,10,2504037,2,1,2,2
58,204838,125912,0.385,4,34,2609855,2,1,0,1
54,71154,57833,0.187,0,2,1073799,1,2,2,1
29,294160,227095,0.228,1,18,2551034,1,2,1,2
26,79238,31206,0.606,3,13,2517850,1,1,0,2
60,114081,61628,0.46,3,5,2943953,1,0,1,1
25,272644,151372,0.445,3,20,2786655,0,2,1,2
27,224775,164985,0.266,4,2,1203888,1,0,2,1
53,87551,55296,0.368,0,11,272159,0,0,1,1
51,235695,155516,0.34,4,30,2965748,2,2,1,2
56,178512,151558,0.151,4,32,4126255,2,1,0,1
61,191277,65269,0.659,2,32,2148652,0,0,1,1
37,105811,44721,0.577,0,28,3881684,1,1,2,2
34,279840,146732,0.476,3,10,4418349,2,0,1,1
63,259104,127292,0.509,1,22,2802143,1,1,0,1
51,44008,13726,0.688,3,17,993694,2,0,0,1
40,227346,79679,0.65,4,22,1767588,1,2,1,2
38,57402,38719,0.325,0,19,4376463,2,1,2,2
40,209456,164135,0.216,0,17,210861,2,1,2,2
49,284994,166101,0.417,0,24,2938493,0,0,0,1
47,161643,96428,0.403,2,32,1846573,1,0,1,1
58,138550,61003,0.56,3,28,4484045,1,1,1,2
47,116218,83947,0.278,2,14,224376,2,1,2,2
44,158296,112942,0.287,1,6,1638487,0,0,1,0
30,204767,127692,0.376,4,9,878269,1,1,1,1
33,266060,110937,0.583,2,21,49314,1,2,1,2
22,265016,93646,0.647,2,12,1788204,2,1,1,2
22,57441,19261,0.665,4,30,3475829,2,0,1,2
55,263038,164657,0.374,0,31,3330250,1,1,0,1
53,195201,147136,0.246,4,4,1429911,0,1,1,0
46,256324,197903,0.228,3,31,328897,0,0,1,0
61,117122,65001,0.445,4,27,2394538,1,0,1,1
22,69760,51018,0.269,0,25,3277729,1,1,1,2
37,168252,138098,0.179,4,5,368406,1,2,1,1
60,123538,55758,0.549,2,6,3399996,2,1,2,2
26,40372,20948,0.481,1,5,2983390,1,0,0,1
43,246035,199857,0.188,2,27,2458020,2,1,2,2
50,136022,66110,0.514,1,8,1586444,0,0,0,0
24,79040,63440,0.197,4,9,3774150,0,0,0,0
33,227440,190952,0.16,3,15,2114985,1,1,2,2
47,103356,68627,0.336,4,7,3766437,1,2,2,1
37,292986,219531,0.251,0,32,2692787,1,2,0,1
58,178077,126835,0.288,4,8,1122731,2,0,2,1
43,79575,54488,0.315,1,15,2973375,1,2,1,1
50,175043,82062,0.531,2,19,4940172,1,0,1,1
35,91914,30460,0.669,3,6,114527,2,0,0,1
49,274134,133963,0.511,4,19,2822097,1,2,1,2
26,92055,61383,0.333,4,28,4759649,1,2,1,2
51,112697,40164,0.644,2,17,2612705,0,0,1,1
26,131239,40231,0.693,3,19,3657202,2,0,1,2
33,260469,98152,0.623,4,31,726272,2,0,1,2
37,148106,102734,0.306,4,11,2306142,0,1,2,1
47,292499,244247,0.165,1,15,946363,1,2,0,1
47,27257,22914,0.159,1,10,139648,2,0,0,0
42,181044,103500,0.428,0,23,439090,2,1,2,2
60,136715,106383,0.222,2,3,1518991,1,0,0,0
57,51654,36429,0.295,3,3,3444217,2,0,1,1
54,236841,136319,0.424,4,18,3915534,1,2,1,2
51,45808,28172,0.385,4,25,4581024,0,2,1,1
58,77389,29057,0.625,0,20,855860,0,0,2,1
44,143581,117121,0.184,4,29,4942312,1,0,1,1
31,152927,75478,0.506,2,22,4198625,1,0,1,2
26,59773,32599,0.455,0,15,4986512,2,1,0,2
57,207240,138729,0.331,2,10,3123544,0,0,0,0
55,239764,115960,0.516,0,21,3831657,1,1,1,2
52,82505,36289,0.56,4,29,2791108,0,1,1,1
31,43135,27911,0.353,0,32,315111,2,0,2,2
40,115887,36358,0.686,1,10,2785575,2,2,2,2
53,147118,102452,0.304,3,13,4085572,0,0,0,0
22,179626,104670,0.417,4,23,4007883,1,2,0,2
26,270739,171422,0.367,3,23,112620,0,1,2,1
25,87261,56504,0.352,4,31,2876137,1,2,0,1
37,85948,50698,0.41,3,4,3772674,0,0,2,1
45,265891,164957,0.38,1,3,1106571,1,1,2,1
37,189074,127829,0.324,3,21,130112,2,0,2,1
23,291357,208091,0.286,0,2,1791770,1,2,1,1
49,166365,116471,0.3,3,4,782129,0,1,0,0
53,87507,68105,0.222,4,1,933580,1,0,1,0
48,82134,33198,0.596,2,15,1759775,1,0,2,2
41,158172,82349,0.479,3,33,1578256,1,2,0,1
45,266225,218647,0.179,3,6,1565474,0,2,2,1
33,218069,112986,0.482,3,7,3618789,2,2,0,2
56,273933,100993,0.631,4,19,24809,1,2,1,2
54,61609,36287,0.411,3,1,623761,0,2,2,1
54,199037,71697,0.64,4,19,4123053,0,1,0,1
64,164088,67533,0.588,4,26,2564527,2,0,0,1
58,238666,202645,0.151,2,12,4188656,1,0,0,0
33,207885,124263,0.402,0,22,598998,2,1,0,2
24,256440,116996,0.544,4,13,3328996,1,1,0,2
22,282803,239569,0.153,1,28,3198804,1,1,0,1
54,192093,159745,0.168,3,14,285498,2,0,1,1
61,180159,97719,0.458,1,22,4852976,0,1,2,2
31,37828,16766,0.557,3,30,3453705,1,0,2,2
64,157473,119855,0.239,2,20,3782379,1,1,1,1
50,248461,172330,0.306,4,27,2459288,2,1,0,1
34,199863,135470,0.322,0,34,1942849,1,0,0,1
33,264719,209448,0.209,4,1,1149302,1,2,2,2
52,233475,158571,0.321,3,15,2478491,1,1,1,1
23,289889,132215,0.544,0,32,1030412,1,2,2,2
56,291010,198359,0.318,4,8,168561,0,0,0,0
44,188317,88169,0.532,0,33,3396859,0,0,2,1
38,96354,69141,0.282,3,18,1943181,1,0,1,1
47,76374,48945,0.359,2,29,4746865,1,0,2,1
29,139397,47754,0.657,2,32,4748065,1,0,1,2
50,273552,159223,0.418,4,33,585698,1,0,1,1
47,54336,26560,0.511,1,5,4188004,1,2,1,1
31,80350,38625,0.519,3,18,4601199,2,2,2,2
47,94561,59690,0.369,4,10,4549429,2,2,1,1
55,86240,41160,0.523,4,33,3753422,1,2,0,2
62,176165,128123,0.273,2,23,4386059,2,1,1,1
28,71607,24270,0.661,0,5,1336712,2,1,0,2
25,211740,140428,0.337,3,34,1078009,1,0,1,1
32,206196,153627,0.255,0,24,4664094,1,0,2,2
50,89110,59708,0.33,3,17,1762671,0,2,1,1
57,209626,120215,0.427,1,31,2762282,2,2,1,2
46,177008,145618,0.177,2,7,2428581,0,2,1,0
42,29426,13682,0.535,1,17,896553,0,2,2,2
57,244911,76055,0.689,4,28,4622791,1,0,2,2
31,53151,28573,0.462,2,22,1253039,2,1,1,2
58,298452,94954,0.682,4,15,23439,1,1,1,2
30,265853,219239,0.175,1,15,1406546,2,2,1,2
45,279595,116159,0.585,3,25,2501469,2,2,1,2
56,201743,148061,0.266,4,21,617064,1,1,1,1
56,115306,83713,0.274,0,2,4931983,1,0,1,0
57,250180,105013,0.58,3,27,1486709,1,0,1,1
